ticker,t0,fwd_max_ret
5246.T,2024-10-24,1.012
5253.T,2024-08-05,1.186
5258.T,2025-04-04,1.123
5262.T,2025-01-28,1.013
5255.T,2024-12-06,1.45
5285.T,2023-08-09,1.02
5285.T,2025-04-07,1.003
5287.T,2025-03-04,1.186
5301.T,2025-12-16,1.016
5332.T,2025-11-18,1.036
5333.T,2025-06-13,1.009
5333.T,2025-12-17,1.016
5337.T,2022-10-07,1.014
5337.T,2024-11-06,1.079
5351.T,2023-03-14,1.011
5344.T,2025-04-07,1.227
5344.T,2025-10-23,1.011
5381.T,2021-06-24,1.03
5381.T,2024-08-02,1.126
5381.T,2025-08-08,1.098
5393.T,2025-10-30,1.001
5406.T,2022-11-30,1.092
5410.T,2022-07-28,1.125
5408.T,2022-06-14,1.016
5471.T,2025-07-04,1.018
5480.T,2022-05-31,1.0
5482.T,2023-03-20,1.003
5482.T,2024-07-24,1.058
5535.T,2024-10-18,3.942
5541.T,2021-08-10,1.035
5541.T,2025-08-20,1.012
5582.T,2024-08-02,1.199
5574.T,2024-08-05,1.199
5574.T,2025-04-04,1.054
5597.T,2025-12-10,1.009
5599.T,2025-07-15,1.02
5592.T,2024-11-22,1.044
5602.T,2025-03-26,1.06
5612.T,2025-04-01,1.042
5591.T,2024-11-05,1.012
5631.T,2023-12-08,1.003
5631.T,2024-08-05,1.295
5631.T,2025-02-28,1.012
5621.T,2025-04-07,1.194
5698.T,2025-07-10,1.061
5706.T,2025-02-13,1.028
5706.T,2025-08-19,2.995
5711.T,2025-07-16,1.006
5714.T,2025-08-05,1.006
5707.T,2021-06-21,1.017
5707.T,2025-07-04,1.056
5713.T,2025-04-07,1.193
5713.T,2025-10-09,1.49
5721.T,2025-10-17,1.0
5715.T,2025-06-25,1.012
5729.T,2025-03-03,1.159
5741.T,2025-08-05,1.262
5726.T,2021-10-29,1.009
5726.T,2022-05-11,2.697
5726.T,2025-04-07,1.159
5724.T,2025-10-09,2.46
5801.T,2023-12-14,1.011
5801.T,2024-07-18,1.04
5801.T,2025-04-03,1.104
5801.T,2025-10-07,4.066
5802.T,2025-04-04,1.197
5802.T,2025-10-08,1.397
5803.T,2023-09-29,1.036
5803.T,2024-04-08,1.192
5803.T,2025-02-25,1.051
5803.T,2025-08-28,1.323
5803.T,2026-03-09,1.094
5805.T,2023-10-04,1.05
5805.T,2024-08-02,1.017
5805.T,2025-08-20,1.038
5817.T,2025-12-19,1.21
5820.T,2021-11-10,1.033
5820.T,2022-11-22,1.174
5830.T,2025-08-05,1.062
5821.T,2025-04-07,1.177
5821.T,2025-10-09,1.077
5838.T,2024-08-06,1.152
5834.T,2025-04-07,1.225
5852.T,2023-03-16,1.037
5851.T,2023-01-05,1.002
5858.T,2024-08-05,1.223
5858.T,2025-04-03,1.057
5885.T,2025-04-07,1.435
5857.T,2025-07-18,1.029
5892.T,2025-02-10,1.326
5939.T,2022-09-08,1.076
5950.T,2024-06-19,1.916
5985.T,2025-08-12,1.648
5985.T,2026-02-19,1.007
5992.T,2023-12-21,1.002
5992.T,2025-01-21,1.031
5998.T,2025-11-17,1.107
6022.T,2025-10-01,1.007
6027.T,2023-02-21,1.0
6016.T,2022-11-01,1.001
6016.T,2023-05-10,1.846
6016.T,2023-11-09,2.49
6016.T,2024-12-24,1.083
6016.T,2025-07-03,1.331
6023.T,2023-08-17,1.079
6023.T,2025-04-04,1.16
6034.T,2022-02-17,1.042
6037.T,2025-03-13,1.02
6036.T,2022-01-25,1.075
6036.T,2023-01-31,1.003
6045.T,2025-04-07,1.058
6047.T,2021-10-21,1.002
6055.T,2025-04-09,1.014
6070.T,2022-03-07,1.054
6069.T,2021-12-20,1.017
6072.T,2025-08-06,2.812
6072.T,2026-02-13,1.892
6083.T,2025-04-07,1.251
6081.T,2022-05-11,1.059
6081.T,2025-08-15,1.132
6101.T,2025-10-28,1.02
6104.T,2022-12-21,1.01
6134.T,2025-08-06,1.081
6135.T,2024-08-01,1.015
6137.T,2023-10-05,1.111
6140.T,2025-08-20,1.143
6143.T,2025-11-10,1.084
6146.T,2023-01-25,1.046
6146.T,2023-09-12,1.035
6146.T,2025-04-07,1.294
6176.T,2025-04-07,1.03
6177.T,2025-08-19,1.584
6182.T,2022-12-23,1.011
6184.T,2022-03-10,1.072
6190.T,2025-04-16,1.106
6195.T,2021-11-16,1.128
6195.T,2022-06-24,1.103
6194.T,2024-02-22,1.011
6197.T,2025-06-11,1.071
6198.T,2021-07-21,1.007
6208.T,2025-12-17,1.03
6217.T,2026-04-16,2.01
6224.T,2025-04-07,1.182
6226.T,2024-05-08,1.071
6226.T,2025-02-07,1.01
6227.T,2023-02-17,1.122
6227.T,2023-08-23,1.299
6227.T,2024-08-02,1.015
6227.T,2025-04-07,1.331
6227.T,2025-10-09,4.246
6228.T,2023-11-20,1.357
6232.T,2024-02-16,1.199
6232.T,2024-12-24,1.072
6232.T,2025-10-17,1.318
6231.T,2023-11-30,1.005
6231.T,2024-08-05,1.095
6240.T,2024-08-05,1.1
6235.T,2025-08-20,1.194
6249.T,2022-12-16,1.285
6254.T,2023-04-25,1.012
6254.T,2023-10-27,2.025
6254.T,2025-04-07,1.006
6254.T,2025-12-16,1.021
6255.T,2024-01-16,1.045
6262.T,2022-03-08,1.016
6262.T,2025-05-01,1.056
6268.T,2025-04-07,1.029
6264.T,2025-04-07,1.311
6264.T,2025-10-14,1.196
6266.T,2023-05-16,1.028
6266.T,2025-12-12,1.02
6269.T,2023-08-10,1.05
6269.T,2024-08-07,1.037
6269.T,2025-02-28,1.006
6269.T,2025-09-02,1.096
6278.T,2025-02-25,1.016
6278.T,2025-09-02,1.022
6298.T,2021-09-22,1.019
6298.T,2022-09-02,1.011
6310.T,2025-02-12,1.148
6315.T,2023-03-03,1.056
6315.T,2023-09-05,1.643
6315.T,2025-04-07,1.345
6323.T,2023-08-25,1.121
6323.T,2025-04-04,1.052
6323.T,2025-10-23,1.039
6324.T,2024-11-13,1.42
6324.T,2025-09-04,1.02
6324.T,2026-03-23,1.097
6327.T,2026-02-17,3.32
6330.T,2025-01-28,1.155
6330.T,2025-08-01,3.97
6331.T,2025-02-10,1.018
6332.T,2025-02-26,1.032
6337.T,2022-05-24,1.032
6338.T,2021-12-15,1.099
6338.T,2022-06-23,2.021
6356.T,2025-04-07,1.09
6356.T,2025-10-09,1.949
6357.T,2025-04-07,1.202
6361.T,2023-09-29,1.008
6361.T,2025-04-07,1.259
6366.T,2025-05-19,1.01
6366.T,2025-11-19,1.798
6368.T,2023-08-25,1.045
6368.T,2025-04-03,1.043
6376.T,2025-11-05,1.038
6387.T,2023-01-04,1.074
6387.T,2025-04-07,1.261
6387.T,2025-10-09,1.334
6405.T,2024-08-05,1.009
6407.T,2025-04-07,1.006
6407.T,2025-10-24,1.02
6430.T,2023-02-28,1.041
6433.T,2025-10-17,2.156
6425.T,2022-06-20,1.035
6440.T,2025-10-28,1.004
6469.T,2025-07-07,1.111
6481.T,2025-11-12,1.034
6480.T,2025-10-28,1.286
6492.T,2024-08-05,1.021
6492.T,2025-04-04,1.023
6492.T,2025-10-17,1.169
6490.T,2025-08-04,1.043
6506.T,2025-11-18,1.01
6504.T,2025-04-07,1.23
6508.T,2025-11-21,1.038
6516.T,2025-10-21,1.009
6507.T,2023-09-21,1.045
6507.T,2024-06-19,1.033
6507.T,2025-04-04,1.081
6525.T,2025-04-02,1.015
6525.T,2025-11-18,1.043
6521.T,2022-07-04,1.037
6521.T,2024-12-13,1.004
6521.T,2025-08-28,1.326
6524.T,2024-02-14,1.045
